t,mode,stimulus,sync,meanB,damage,phi,q_obs,q_status,hcr_L2R,hcr_R2L,q_res,dilatacion,energia,lyapunov,stochastic_noise,topological_collapse,causal_failure,clinical_phase,perm_entropy,betti_1,De,pred1_code,pred1_p,pred2_code,pred2_p,pred3_code,pred3_p,guards_fired,ai_action,ai_reward
75.352052,bio,0.000000,0.607240,8.103409,0.000000,0.607240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,1.434990,7.000000,0.937812,0.000000,1.434990,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 21.62,0.000000,21.617737,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
75.696798,bio,0.000000,2.076437,2.544299,0.000000,2.076437,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.412055,7.000000,1.071508,0.000000,0.412055,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
76.128824,bio,0.000000,2.013085,3.271165,0.000000,2.013085,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.412055,7.000000,1.210843,-0.022606,0.412055,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
76.508539,bio,0.000000,1.041862,1.006966,0.000000,1.041862,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.412055,7.000000,1.355283,-0.022783,0.412055,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 37.09,0.000000,37.090273,0.000000,E1,0.200000,E2,0.200000,E3,0.200000,,0,0.00
76.918092,bio,0.000000,1.570240,1.957132,0.000000,1.570240,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.412055,7.000000,1.504321,-0.022939,0.412055,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 56.53,0.000000,56.525656,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
77.321908,bio,0.000000,3.296919,6.303034,0.000000,3.296919,0.000000,ONLINE_RIGETTI,0.000000,0.000000,0.412055,7.000000,1.657475,-0.023089,0.412055,0.320000,0.000000,METÁSTASIS (ICTAL) | De: 0.00 | Betti: 0.00,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E1,0,0.00
77.717258,sch,0.000000,0.000000,0.000000,0.000000,0.000960,0.023554,ONLINE_RIGETTI,0.000000,0.000000,0.365604,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,QUANTUM MODE,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E1,0.000000,E2,0,0.00
78.074466,sch,0.000000,0.000000,0.000000,0.000000,0.001920,0.023554,ONLINE_RIGETTI,0.000000,0.000000,0.365604,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,QUANTUM MODE,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E3,0.000000,E2,0,0.00
78.447227,sch,0.000000,0.000000,0.000000,0.000000,0.002880,0.023554,ONLINE_RIGETTI,0.000000,0.000000,0.365604,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,QUANTUM MODE,0.000000,0.000000,0.000000,E2,1.000000,E5,0.000000,E3,0.000000,E2,0,0.00
78.821455,sch,0.000000,0.000000,0.000000,0.000000,0.003840,0.023554,ONLINE_RIGETTI,0.000000,0.000000,0.365604,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,QUANTUM MODE,0.603985,0.000000,0.000000,E2,1.000000,E5,0.000000,E3,0.000000,E2,0,0.00
